,detail_link,point1,point2,point3,target_ind,goal,scale
10,https://ai-products.net/product/goo-ai-x/,", ディープラーニングによるAIとの自然な対話を実現します",豊富な言語データを保有し、少量のデータからでも高い回答精度を実現します,多様なニーズに応える豊富な機能、ラインナップにより、高いカスタマイズ性でお客様の課題解決を実現します,全て,"Webマーケ, 問い合わせ対応, 業務改善（効率化）, プロモーション, 接客, 販売促進, エンゲージメント向上",大企業向け
11,https://ai-products.net/product/qualva/,", qualvaは唯一、新規顧客獲得のために作られた専用のチャットボットです。",ユーザーのフォーム入力をアシストして離脱を抑えることで、コンバージョンを促進します。,コンバージョン率が約1.2〜2倍向上、使い始めたその日からすぐに効果を実感いただけます。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 業務改善（効率化）, プロモーション, 接客, サイト運営","大企業向け, 中小企業向け"
12,https://ai-products.net/product2/chatplus/,none,none,none,none,none,none
13,https://ai-products.net/product/chatbot-chamo/,", 数行のタグをサイトに入れるだけで５分でスタート可能です。",基本の接客パターンはデフォルトで設定済みなので、スタートしてすぐに運用可能です。,顧客の情報を分析し、最適なチャットボットを表示させることで、One to One マーケティングを実現します。,全て,"Webマーケ, 離脱防止, CVR改善, 問い合わせ対応, 受付, 業務改善（効率化）, 接客","大企業向け, 中小企業向け"
14,https://ai-products.net/product2/virtual-agent/,none,none,none,none,none,none
15,https://ai-products.net/product2/minarai-cs-chat/,none,none,none,none,none,none
16,https://ai-products.net/product/enoki-cloud/,", 新オントロジー技術とAIエンジンをハイブリットで構成されていることで高速で高度な会話処理を実現しています。",ユーザー動向や要望の分析、知識の拡張のための強力な管理機能が搭載。,スモールスタートが可能で業務範囲の拡大が容易です。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 離脱防止, CVR改善, DM, レコメンド, 問い合わせ対応, 受付, 販売, 業務改善（効率化）, プロモーション, コスト削減, お客様の声（VOC）分析, 接客, ポジショニングマップ, マッチング, マーケティング, 営業支援, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 顧客分析, AI研究開発支援, 付加価値, コミュニケーション, 意思決定の高度化, コールセンター, 育成支援","大企業向け, 中小企業向け, 個人事業主向け"
17,https://ai-products.net/product2/ai-messenger/,none,none,none,none,none,none
18,https://ai-products.net/product/qs-chatbot/,", ユーザの評価をもとにAIが自動学習",業務シーンに応じた複数のチャットボットを用意可能,チャットボットで解決できない質問は検索画面へシームレスに連携,全て,"業務改善（効率化）, コールセンター","大企業向け, 中小企業向け"
19,https://ai-products.net/product2/kuzen/,none,none,none,none,none,none
20,https://ai-products.net/product/ok-sky-chat-bot/,", お客様を即座にサポートし、顧客満足度向上",店舗混雑時の接客を支援,カスタマーサポートコストを低減,全て,"業務改善（効率化）, 接客","大企業向け, 中小企業向け"
21,https://ai-products.net/product/chatbot-ai-cb3/,", 簡単な問い合わせはチャットボット、申込みや難しい問い合わせはオペレータが対応することで業務負荷を軽減します。",夜間・休日も質問に自動回答してくれますので、お客様や従業員の方はいつでも回答を得ることができます。,問合せ対応者毎の回答のバラツキをなくし、同じ質問には同じ回答をしてくれます。,全て,"問い合わせ対応, 業務改善（効率化）","大企業向け, 中小企業向け"
22,https://ai-products.net/product2/ai-faq-bot/,none,none,none,none,none,none
23,https://ai-products.net/product/chatbot-direct/,", メール数を大幅に削減、業務効率UP ！送信したメッセージが読まれたかどうか瞬時に分かる",初期コストゼロ、教育コストゼロで簡単に導入できる,社員間のコミュニケーションが活性化し、活力ある組織づくりに貢献できる,全て,"問い合わせ対応, 業務改善（効率化）","大企業向け, 中小企業向け"
24,https://ai-products.net/product2/tayoreru/,none,none,none,none,none,none
25,https://ai-products.net/product/concierge-u/,", プログラミングの知識は不要です。直感的な操作で誰でも簡単に作成することが出来ます。",収集したデータから簡単にレポートを作成できるので、顧客情報を有効活用が出来ます。,LINEやFacebookなどのインターフェイスと連携し、新しいマーケティングチャネルを確立します。,全て,"Webマーケ, データ分析, 問い合わせ対応, 受付, 接客","大企業向け, 中小企業向け"
26,https://ai-products.net/product/chatbot-firstcontact/,", 「多項目の選択形式」で回答内容の範囲を想定し、ユーザーとの会話を脱線させません。",潜在ユーザーへのアプローチで、コンバージョン率をアップさせます。,定型的な質問に対するアプローチが多数、カスタマーサポートの人件費を削減します。,全て,"Webマーケ, データ分析, 離脱防止, CVR改善, 問い合わせ対応, 受付, 販売, コスト削減, 接客","大企業向け, 中小企業向け, 個人事業主向け"
27,https://ai-products.net/product2/third-ai/,none,none,none,none,none,none
28,https://ai-products.net/product/chatbot-ai-haru/,", 音声認識で勤怠管理が行えるので、タイムカードの紙媒体が不要！",音声でユーザの感情を分析、好感度推定機能と組み合わせて情報を収集が可能,議事録の記録は音声認識で行うことで書記は不要になります。,全て,"Webマーケ, データ分析, 業務改善（効率化）, プロモーション, 接客","大企業向け, 中小企業向け"
29,https://ai-products.net/product2/chatbot-hitto/,none,none,none,none,none,none
30,https://ai-products.net/product2/quickqa/,none,none,none,none,none,none
31,https://ai-products.net/product/einstein-for-service/,", マウス操作だけで構築ができるチャットボットで満足度の高いセルフサービス機能を提供",CRMに組み込まれたAIですべてのサービス担当者の作業時間短縮と迅速な問題解決をサポート,Einstein for Service は迅速に導入できて、設定も簡単なので、インテリジェントで満足度の高いカスタマーサービスをすぐに実現,"金融, IT, 製造, 旅行, 保険, EC, Webサービス, 通信","データ分析, 業務改善（効率化）, 接客","大企業向け, 中小企業向け, 個人事業主向け"
32,https://ai-products.net/product/mobiagent/,", 顧客との対話、FAQの自動回答、定型手続きの自動受付を実現します。",時間帯、顧客の希望、問い合わせ種別等に応じた柔軟な自動・有人切替が可能です。,豊富な統計出力・レポーティングから多彩なオペレーター支援機能を搭載しています。,全て,"業務改善（効率化）, 接客","大企業向け, 中小企業向け"
33,https://ai-products.net/product2/caiwa-service-viii/,none,none,none,none,none,none
34,https://ai-products.net/product/chatbot-obotai/,", 学習するAIを搭載。定型文通りにしか回答しないチャットボットではなく、使うほど便利になります。",マルチ言語に対応。日本語だけでなく、英語をはじめとした主要外国語にも対応します。,コストカットを実現。従業員が対応していたお問合わせ業務を一部自動化します。,"旅行, 全て","問い合わせ対応, 業務改善（効率化）, コスト削減, 接客","大企業向け, 中小企業向け"
35,https://ai-products.net/product/chatbot-online-concierge/,", 簡単な設定で独自のチャットボットが実現できます。",日本語での設定で多言語対応が実現できます。,メール問い合わせの返信文案を自動的に作成します。,"旅行, 全て","問い合わせ対応, 受付, 業務改善（効率化）, 接客","大企業向け, 中小企業向け"
36,https://ai-products.net/product/my-ope-office/,", 導入前のスケジューリング、タスク洗い出しなど丁寧な対応で、短期間での導入・運用が可能です。",社内問い合わせ工数を減らし、社員の書類や情報を「探す時間」を短縮します。,社内問い合わせ対応に特化した独自に組まれた自社開発AIエンジンが課題解決を実現します。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, EC","問い合わせ対応, 受付, 業務改善（効率化）","大企業向け, 中小企業向け"
37,https://ai-products.net/product/chatbot-botchan/,", お客様ご自身でも作成できるシナリオは、コールセンターの人件費を大幅にカットします。",まずは無料プランから、ご要望に合わせて最適なプランをご提案します。,発言内容の取得から、アクセス解析によるマーケティングの最適化を実現します。,全て,"Webマーケ, データ分析, 離脱防止, レコメンド, 問い合わせ対応, 受付, コスト削減, 接客","大企業向け, 中小企業向け"
38,https://ai-products.net/product2/faceconcier/,none,none,none,none,none,none
